"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"FOXO3"	1.80756121980503e-39	0.537396567911749	0.685	0.588	4.22535510741623e-35	"2"	"FOXO3"
"PDLIM2"	1.84636070329513e-39	-0.42573370935067	0.463	0.727	4.31605278002269e-35	"2"	"PDLIM2"
"PGM1"	1.90476277017138e-39	-0.317396549594898	0.12	0.352	4.45257345155261e-35	"2"	"PGM1"
"IFITM3"	2.24603022788077e-39	0.315818535642324	1	0.999	5.25032026069409e-35	"2"	"IFITM3"
"MT2A"	2.38776747154215e-39	0.760413802282153	0.979	0.99	5.58164524147692e-35	"2"	"MT2A"
"PDIA3"	2.63185568907909e-39	-0.378970379852444	0.713	0.893	6.15222585879129e-35	"2"	"PDIA3"
"FAU"	2.70686066564419e-39	0.263534522661999	0.996	0.995	6.32755749200985e-35	"2"	"FAU"
"SASH1"	3.60222776249533e-39	0.526888392320662	0.274	0.13	8.42056761760909e-35	"2"	"SASH1"
"PABPC1"	3.86497210542089e-39	-0.385091682606685	0.711	0.885	9.03475879363187e-35	"2"	"PABPC1"
"WBP1L"	4.06987279022891e-39	-0.342383759495506	0.144	0.385	9.51373463443911e-35	"2"	"WBP1L"
"MYO1E"	4.83263085963606e-39	-0.296616092564968	0.053	0.25	1.12967578974853e-34	"2"	"MYO1E"
"TACC1"	5.01625810762061e-39	0.589076748597796	0.626	0.545	1.17260049523739e-34	"2"	"TACC1"
"FKBP7"	7.89753492987267e-39	-0.368424699665177	0.307	0.6	1.84612776520703e-34	"2"	"FKBP7"
"PTGIS"	8.5301011254616e-39	-0.357504735655834	0.088	0.302	1.9939964390879e-34	"2"	"PTGIS"
"TSKU"	8.69162998667413e-39	-0.274491470395345	0.059	0.26	2.03175542568495e-34	"2"	"TSKU"
"FHL1"	1.04802992982878e-38	0.611227967205873	0.556	0.445	2.44987476396776e-34	"2"	"FHL1"
"MT1A"	1.2659032952378e-38	1.10830061094086	0.336	0.18	2.95917554294788e-34	"2"	"MT1A"
"PID1"	1.49223233486906e-38	0.551076402190714	0.356	0.204	3.48824230598991e-34	"2"	"PID1"
"MFAP4"	1.69028738015634e-38	0.464823894832608	0.868	0.772	3.95121577985347e-34	"2"	"MFAP4"
"EVL"	1.71567562123821e-38	-0.312127924405726	0.163	0.416	4.01056333220643e-34	"2"	"EVL"
"PCDH7"	2.15756759625449e-38	-0.34029332928933	0.149	0.394	5.04353001300451e-34	"2"	"PCDH7"
"PLIN3"	2.37935777532101e-38	-0.321074508072564	0.179	0.434	5.56198673559039e-34	"2"	"PLIN3"
"CD151"	2.73745047741318e-38	-0.382205851055668	0.454	0.736	6.39906423600106e-34	"2"	"CD151"
"CDK2AP2"	3.22608484520305e-38	-0.291738417062701	0.078	0.288	7.54129593414665e-34	"2"	"CDK2AP2"
"ATOX1"	3.84945605405055e-38	-0.384053377625874	0.441	0.718	8.99848847194857e-34	"2"	"ATOX1"
"GPRC5A"	4.39700900945495e-38	-0.44843933682303	0.057	0.253	1.02784482605019e-33	"2"	"GPRC5A"
"HSP90B1"	5.36628567490061e-38	-0.416564707526818	0.795	0.93	1.25442293936477e-33	"2"	"HSP90B1"
"FAM118A"	6.10493806349267e-38	-0.389617727802394	0.185	0.434	1.42709032172205e-33	"2"	"FAM118A"
"RAB2A"	9.44822152777033e-38	-0.377454724154674	0.571	0.81	2.20861626433159e-33	"2"	"RAB2A"
"OMD"	1.11055085731051e-37	-0.511783473604743	0.241	0.492	2.59602368404905e-33	"2"	"OMD"
"ACTR3"	1.44566397138307e-37	-0.373818061886368	0.346	0.637	3.37938409950506e-33	"2"	"ACTR3"
"RPS28"	1.50147290514061e-37	0.231868879350309	1	1	3.50984306305668e-33	"2"	"RPS28"
"VEGFB"	1.66928861231867e-37	-0.33319894038537	0.239	0.514	3.90212906015613e-33	"2"	"VEGFB"
"OST4"	1.77679818910912e-37	-0.35298983285832	0.897	0.963	4.15344344686149e-33	"2"	"OST4"
"GPC6"	1.89358736173188e-37	-0.306667513558038	0.07	0.273	4.42644981678444e-33	"2"	"GPC6"
"STEAP1"	2.18342774374984e-37	-0.423804621488644	0.222	0.477	5.10398069378962e-33	"2"	"STEAP1"
"SEC61G"	2.20842661599563e-37	-0.39893179449505	0.731	0.89	5.16241805755138e-33	"2"	"SEC61G"
"CORO1C"	2.50853788703241e-37	-0.268373945670143	0.128	0.362	5.86395816472697e-33	"2"	"CORO1C"
"MUC6"	2.53045127096881e-37	0.526084068286909	0.306	0.156	5.9151828910167e-33	"2"	"MUC6"
"FKBP9"	2.53708053850458e-37	-0.33377236007567	0.219	0.482	5.93067946680829e-33	"2"	"FKBP9"
"LAPTM4A"	3.31229982732228e-37	0.342003835488729	0.979	0.978	7.74283207634857e-33	"2"	"LAPTM4A"
"PARVA"	3.42361495318341e-37	-0.330847397453927	0.262	0.543	8.00304231456155e-33	"2"	"PARVA"
"ITM2A"	3.52953921948713e-37	0.649456685783103	0.462	0.3	8.25065087947312e-33	"2"	"ITM2A"
"CEBPD"	4.83712938076442e-37	0.67290266250157	0.782	0.751	1.13072736404749e-32	"2"	"CEBPD"
"CKLF"	5.78321153965524e-37	-0.343117570653491	0.237	0.504	1.35188352950981e-32	"2"	"CKLF"
"CFH"	7.52711824709625e-37	0.55019514064005	0.784	0.741	1.75953916144122e-32	"2"	"CFH"
"SMCO4"	8.17581307636053e-37	-0.320938685213812	0.146	0.377	1.91117806473004e-32	"2"	"SMCO4"
"FKBP5"	9.00294267799023e-37	0.611877348827628	0.588	0.483	2.104527880407e-32	"2"	"FKBP5"
"KIAA0247"	1.66485429637632e-36	-0.280434269120439	0.091	0.304	3.89176340320928e-32	"2"	"KIAA0247"
"ARF1"	2.3338958593512e-36	-0.352236150687006	0.603	0.847	5.45571496081936e-32	"2"	"ARF1"
"BAG2"	2.55231395274014e-36	-0.322706017071558	0.124	0.348	5.96628909592534e-32	"2"	"BAG2"
"SEC61A1"	2.80640305083501e-36	-0.314830936490752	0.215	0.479	6.56024777163193e-32	"2"	"SEC61A1"
"C19orf10"	3.21026200335428e-36	-0.366108465389039	0.51	0.777	7.50430845904096e-32	"2"	"C19orf10"
"ADAMTS12"	3.46770896877207e-36	-0.328252013584112	0.106	0.317	8.10611648540158e-32	"2"	"ADAMTS12"
"SMARCB1"	4.72351580535142e-36	-0.326852217777527	0.174	0.413	1.10416905465895e-31	"2"	"SMARCB1"
"CHSY1"	4.90871807250775e-36	-0.297157423140808	0.077	0.277	1.14746193662941e-31	"2"	"CHSY1"
"PPFIBP1"	5.54374693013858e-36	-0.344766604099575	0.229	0.493	1.29590628238919e-31	"2"	"PPFIBP1"
"APOL1"	7.52240387086665e-36	-0.357042899414332	0.217	0.47	1.75843712885379e-31	"2"	"APOL1"
"HTRA3"	9.24187334497877e-36	-0.621086618669566	0.353	0.598	2.16038031312224e-31	"2"	"HTRA3"
"MICU1"	9.51736671450092e-36	-0.275224647469839	0.131	0.361	2.22477964318174e-31	"2"	"MICU1"
"MOXD1"	1.10646771384278e-35	-0.389977671937026	0.206	0.458	2.58647892787888e-31	"2"	"MOXD1"
"DBN1"	1.55000527317033e-35	-0.2555462293257	0.076	0.272	3.62329232656297e-31	"2"	"DBN1"
"CAPN2"	1.56927723088932e-35	-0.327067648959509	0.327	0.61	3.66834245492688e-31	"2"	"CAPN2"
"GPX7"	1.91855979217774e-35	-0.266694139063566	0.107	0.324	4.48482537019469e-31	"2"	"GPX7"
"CALD1"	2.23529867065178e-35	-0.291736239441557	0.983	0.998	5.2252341725156e-31	"2"	"CALD1"
"IL6ST"	2.46712074898529e-35	0.54278047371919	0.646	0.561	5.76714146282802e-31	"2"	"IL6ST"
"LAMB1"	3.36543076445745e-35	0.628044881995856	0.653	0.6	7.86703095499573e-31	"2"	"LAMB1"
"DSG2"	3.45134188837288e-35	-0.296576176696503	0.066	0.257	8.06785679826044e-31	"2"	"DSG2"
"IFNGR2"	3.63468422996797e-35	-0.291445597259195	0.201	0.456	8.49643785597312e-31	"2"	"IFNGR2"
"SNHG8"	4.09947093490071e-35	0.625417357311527	0.608	0.543	9.5829232574239e-31	"2"	"SNHG8"
"EMC10"	5.1142012039809e-35	-0.292098933677132	0.218	0.482	1.19549567344257e-30	"2"	"EMC10"
"TMEM160"	5.44474208118703e-35	-0.306572489620685	0.242	0.508	1.27276290889828e-30	"2"	"TMEM160"
"NOTCH3"	6.49534914491051e-35	-0.389911697369933	0.165	0.395	1.51835281611428e-30	"2"	"NOTCH3"
"RARRES2"	8.74969527063683e-35	-0.536011561340021	0.927	0.971	2.04532876646406e-30	"2"	"RARRES2"
"UCHL1"	9.84174271513334e-35	-0.307579868203649	0.09	0.29	2.30060577708957e-30	"2"	"UCHL1"
"C7orf50"	1.02780876515915e-34	-0.252742738154935	0.179	0.427	2.40260576943604e-30	"2"	"C7orf50"
"LSM7"	1.08194739495779e-34	-0.333936400822166	0.414	0.693	2.52916023045332e-30	"2"	"LSM7"
"FAM63B"	1.15343426122166e-34	-0.316913842717948	0.179	0.419	2.69626792903176e-30	"2"	"FAM63B"
"GNAI2"	1.16419697727379e-34	-0.301005956487445	0.271	0.548	2.7214268540752e-30	"2"	"GNAI2"
"CDK2AP1"	1.53396299684533e-34	-0.300544343865293	0.216	0.465	3.58579190142565e-30	"2"	"CDK2AP1"
"KNOP1"	1.60675313695427e-34	-0.245481987163174	0.081	0.282	3.7559461329443e-30	"2"	"KNOP1"
"STK17A"	1.88163224638089e-34	-0.268016391143534	0.124	0.344	4.39850353913997e-30	"2"	"STK17A"
"CNPY3"	1.89521488435363e-34	-0.267749672018187	0.128	0.348	4.43025431366505e-30	"2"	"CNPY3"
"APOE"	1.95859749250757e-34	1.34381676690015	0.674	0.711	4.57841749848569e-30	"2"	"APOE"
"ISOC2"	2.48295035565198e-34	-0.282466768318021	0.219	0.476	5.80414475137207e-30	"2"	"ISOC2"
"EIF4EBP1"	3.00070890052668e-34	-0.285340144806679	0.15	0.38	7.01445712587116e-30	"2"	"EIF4EBP1"
"PSD3"	3.6202554933929e-34	-0.263751272326079	0.068	0.259	8.46270924135525e-30	"2"	"PSD3"
"H1F0"	3.78545846335177e-34	-0.347896919321746	0.233	0.487	8.8488877039311e-30	"2"	"H1F0"
"PGAM1"	4.04864291091326e-34	-0.391340666864374	0.471	0.729	9.46410766855084e-30	"2"	"PGAM1"
"CRELD2"	4.61281041673521e-34	-0.269955400872838	0.163	0.401	1.07829056301602e-29	"2"	"CRELD2"
"DNAJC10"	6.655575207201e-34	-0.263654546787844	0.102	0.309	1.55580726043531e-29	"2"	"DNAJC10"
"JUND"	8.25367215464971e-34	0.675879510057505	0.729	0.705	1.92937840287092e-29	"2"	"JUND"
"BMPR2"	8.72830903086194e-34	-0.302401262212279	0.198	0.447	2.04032951905429e-29	"2"	"BMPR2"
"TCF12"	8.80346276093498e-34	-0.273117855896103	0.124	0.342	2.05789745499616e-29	"2"	"TCF12"
"EMILIN1"	1.01578462226988e-33	-0.403213034460494	0.519	0.796	2.37449813301808e-29	"2"	"EMILIN1"
"H2AFY"	1.08522380681951e-33	-0.287316220513711	0.275	0.548	2.5368191708213e-29	"2"	"H2AFY"
"TSPO"	1.36306155389226e-33	-0.355994878477237	0.539	0.783	3.18629268837854e-29	"2"	"TSPO"
"CTNNB1"	1.7835835113684e-33	-0.430799630952052	0.417	0.68	4.16930481617477e-29	"2"	"CTNNB1"
"KLF6"	1.80863876058807e-33	-0.617248105670648	0.614	0.807	4.22787396675066e-29	"2"	"KLF6"
"MEST"	1.9663459466942e-33	-0.441474860691322	0.105	0.302	4.59653028499236e-29	"2"	"MEST"
"C1QTNF1"	2.06638748610076e-33	-0.283008842895033	0.086	0.281	4.83038738750913e-29	"2"	"C1QTNF1"
"CARD16"	2.68222191844915e-33	-0.290685799296416	0.096	0.294	6.26996195656673e-29	"2"	"CARD16"
"TXN"	3.621888545611e-33	-0.307578749295334	0.761	0.919	8.46652666422028e-29	"2"	"TXN"
"CCDC102B"	4.25161775065684e-33	0.459097659099099	0.289	0.149	9.93858165393544e-29	"2"	"CCDC102B"
"ITGAV"	4.270430827039e-33	-0.325125366229046	0.257	0.511	9.98255910128636e-29	"2"	"ITGAV"
"IFITM2"	4.40184231322795e-33	0.444945238520441	0.92	0.947	1.02897465914017e-28	"2"	"IFITM2"
"CCDC109B"	5.59094971789361e-33	-0.264485012410848	0.157	0.383	1.30694040605481e-28	"2"	"CCDC109B"
"ID2"	6.22407012033114e-33	-0.515405196325202	0.267	0.504	1.45493863132861e-28	"2"	"ID2"
"WIPF1"	6.73647397480669e-33	-0.28315763209242	0.149	0.377	1.57471815635081e-28	"2"	"WIPF1"
"FAM177A1"	6.74434663800916e-33	-0.295860356114509	0.292	0.561	1.57655847010102e-28	"2"	"FAM177A1"
"CCL4"	6.94567726769308e-33	-0.292262832059478	0.109	0.315	1.62362151809593e-28	"2"	"CCL4"
"ETV1"	9.28657451621834e-33	-0.284163632438829	0.105	0.31	2.1708296589112e-28	"2"	"ETV1"
"MRPS6"	9.42168263576297e-33	-0.419574911937272	0.169	0.388	2.20241253293595e-28	"2"	"MRPS6"
"LTBP1"	1.02370867938509e-32	-0.33575782099829	0.326	0.598	2.39302140893058e-28	"2"	"LTBP1"
"HMGN3"	1.40555617362888e-32	0.498782529378235	0.667	0.627	3.28562811147487e-28	"2"	"HMGN3"
"TPI1"	1.50504854805615e-32	-0.443017471588256	0.726	0.889	3.51820148593607e-28	"2"	"TPI1"
"IFI44L"	2.00149932303742e-32	-0.319778631847736	0.084	0.271	4.67870481753228e-28	"2"	"IFI44L"
"XAF1"	2.12868224072274e-32	-0.263453871180871	0.1	0.302	4.97600760591347e-28	"2"	"XAF1"
"RPS2"	2.21948014237256e-32	-0.281965140991525	0.994	0.999	5.1882567808101e-28	"2"	"RPS2"
"CIB1"	3.22466826161843e-32	-0.301838073526025	0.374	0.65	7.53798452835923e-28	"2"	"CIB1"
"RPL35A"	3.3151210510089e-32	0.235668358098683	1	0.999	7.7494269688384e-28	"2"	"RPL35A"
"PLTP"	3.54664316434451e-32	0.621455149282369	0.63	0.547	8.29063306097174e-28	"2"	"PLTP"
"CCDC167"	3.69318398088568e-32	-0.227911984226321	0.073	0.256	8.63318687371838e-28	"2"	"CCDC167"
"ST3GAL4"	3.95488225947693e-32	-0.26343791499227	0.121	0.328	9.24493276975326e-28	"2"	"ST3GAL4"
"ERO1L"	4.03116599656697e-32	-0.287178158176661	0.081	0.265	9.42325363357496e-28	"2"	"ERO1L"
"TMED3"	4.47194067618062e-32	-0.303903099566278	0.299	0.56	1.04536085246398e-27	"2"	"TMED3"
"WNK1"	5.02966474307462e-32	-0.274852534467155	0.154	0.374	1.17573443034112e-27	"2"	"WNK1"
"SNORD3A"	5.86428411431787e-32	0.629544884879924	0.435	0.306	1.37083505456295e-27	"2"	"SNORD3A"
"SON"	5.93704048114502e-32	0.433487687397949	0.828	0.855	1.38784258287246e-27	"2"	"SON"
"MT-ND5"	5.96236829089915e-32	-0.409527550470502	0.833	0.942	1.39376321168059e-27	"2"	"MT-ND5"
"FOXP1"	6.55537538689019e-32	-0.318171110964049	0.368	0.651	1.53238455043945e-27	"2"	"FOXP1"
"FTH1"	6.57822214087312e-32	-0.426450799382106	0.998	1	1.5377252076505e-27	"2"	"FTH1"
"B4GALT1"	6.89791907437941e-32	-0.38255572520994	0.274	0.521	1.61245756282693e-27	"2"	"B4GALT1"
"ARCN1"	7.16690164779059e-32	-0.25818798188407	0.128	0.338	1.67533492918753e-27	"2"	"ARCN1"
"GPC1"	8.83637650170133e-32	-0.351541138129341	0.158	0.371	2.0655913710377e-27	"2"	"GPC1"
"MAP7D1"	1.04769979256376e-31	-0.254897479686751	0.152	0.376	2.44910303509705e-27	"2"	"MAP7D1"
"VOPP1"	1.15657605915846e-31	-0.253902630702795	0.126	0.338	2.70361219588881e-27	"2"	"VOPP1"
"PGK1"	1.22198448626241e-31	-0.460483777818807	0.428	0.672	2.856510935087e-27	"2"	"PGK1"
"CDC42"	1.22467608834256e-31	-0.35333571371884	0.56	0.819	2.86280282410956e-27	"2"	"CDC42"
"CBX3"	1.49399044584961e-31	-0.308764597157745	0.362	0.633	3.49235206621806e-27	"2"	"CBX3"
"PTGFRN"	1.50131477460282e-31	-0.323666404177226	0.198	0.433	3.50947341711156e-27	"2"	"PTGFRN"
"MANF"	1.62905547894885e-31	-0.336289018994214	0.364	0.622	3.80808008759084e-27	"2"	"MANF"
"AGTRAP"	1.68740986119559e-31	-0.225107072606816	0.129	0.342	3.94448929153082e-27	"2"	"AGTRAP"
"IL1R1"	1.74899142174467e-31	-0.37791452097913	0.331	0.582	4.08844234747034e-27	"2"	"IL1R1"
"EGR1"	1.87045432559946e-31	0.697001319509037	0.796	0.732	4.37237403152129e-27	"2"	"EGR1"
"CARHSP1"	2.24221216941267e-31	-0.348388894072399	0.31	0.557	5.24139516721906e-27	"2"	"CARHSP1"
"U2AF1"	2.83529333757619e-31	0.460728603215559	0.702	0.699	6.6277817059181e-27	"2"	"U2AF1"
"RPS27A"	2.88540411594085e-31	0.261452238396657	0.998	0.997	6.74492066142334e-27	"2"	"RPS27A"
"LRRC17"	2.97133018215283e-31	-0.353454380477975	0.097	0.285	6.94578143380045e-27	"2"	"LRRC17"
"ADAR"	3.07856534379138e-31	-0.242615064662208	0.254	0.515	7.19645434764672e-27	"2"	"ADAR"
"EIF1"	4.35647402099889e-31	0.261497451987369	0.996	0.993	1.0183693671487e-26	"2"	"EIF1"
"HTRA1"	4.47258866299002e-31	-0.54401765492041	0.741	0.878	1.04551232586055e-26	"2"	"HTRA1"
"CTSS"	5.23271770625374e-31	-0.299873869544279	0.109	0.305	1.22320009101388e-26	"2"	"CTSS"
"BOC"	8.7745749018706e-31	0.592371405199221	0.494	0.373	2.05114462906127e-26	"2"	"BOC"
"THBS3"	1.00514773730472e-30	-0.215932037245253	0.084	0.271	2.34963335072351e-26	"2"	"THBS3"
"SNX9"	1.14680148623075e-30	-0.284147965530391	0.248	0.502	2.680763154213e-26	"2"	"SNX9"
"PNRC1"	1.32689382129551e-30	0.455460326162598	0.801	0.78	3.10174699666039e-26	"2"	"PNRC1"
"TPGS2"	1.38503983556456e-30	-0.208506942275658	0.132	0.345	3.23766911961571e-26	"2"	"TPGS2"
"RPL14"	1.47479357086449e-30	0.233633385793566	0.998	0.998	3.44747745125283e-26	"2"	"RPL14"
"ARHGAP10"	1.5311517725162e-30	0.406827401260137	0.256	0.129	3.57922038343387e-26	"2"	"ARHGAP10"
"ZNF281"	1.54829749551035e-30	-0.274763519237203	0.108	0.304	3.61930022550499e-26	"2"	"ZNF281"
"BCAR1"	1.61907249486478e-30	-0.22547675295892	0.075	0.255	3.7847438639959e-26	"2"	"BCAR1"
"BTG2"	1.78506395972128e-30	0.760432582908101	0.529	0.391	4.17276551224446e-26	"2"	"BTG2"
"TPD52L2"	1.80574650071228e-30	-0.215739496076945	0.126	0.336	4.22111302006504e-26	"2"	"TPD52L2"
"MAP4"	1.94470450435002e-30	-0.293886652507266	0.311	0.578	4.5459412493686e-26	"2"	"MAP4"
"LAMB2"	2.12849246176099e-30	-0.264376591523805	0.285	0.556	4.97556397861249e-26	"2"	"LAMB2"
"CLTC"	2.53117517222818e-30	-0.275056181105083	0.251	0.502	5.91687508260059e-26	"2"	"CLTC"
"ARPC4"	2.69512676415345e-30	-0.269122219267938	0.275	0.534	6.30012832388511e-26	"2"	"ARPC4"
"SPCS3"	3.11660058188475e-30	-0.225252386611644	0.201	0.441	7.28536552021379e-26	"2"	"SPCS3"
"TSHZ2"	3.28959783948196e-30	0.394628450319914	0.799	0.725	7.68976390957303e-26	"2"	"TSHZ2"
"PLS3"	3.84336652028583e-30	-0.303880016030894	0.391	0.652	8.98425357782015e-26	"2"	"PLS3"
"KCNQ1OT1"	5.38574312304768e-30	-0.463611230774602	0.243	0.465	1.25897131244363e-25	"2"	"KCNQ1OT1"
"PARP9"	5.62225210374459e-30	-0.222715850252604	0.075	0.251	1.31425765177134e-25	"2"	"PARP9"
"EPDR1"	6.17103070278607e-30	-0.261545394503923	0.125	0.324	1.44254013708327e-25	"2"	"EPDR1"
"KIAA0930"	6.40847315174262e-30	-0.236971852337988	0.097	0.286	1.49804468395135e-25	"2"	"KIAA0930"
"MDFI"	6.58679771227825e-30	-0.223638043158316	0.081	0.262	1.53972983322216e-25	"2"	"MDFI"
"LINC00657"	7.48471115710236e-30	-0.33659100251412	0.449	0.717	1.74962608008425e-25	"2"	"LINC00657"
"CD320"	7.63267067793987e-30	0.600845819183573	0.346	0.218	1.78421309767522e-25	"2"	"CD320"
"KRAS"	7.68212169846781e-30	-0.221192781476616	0.097	0.286	1.79577276823384e-25	"2"	"KRAS"
"GLIS2"	8.80168591795209e-30	-0.250050573663456	0.08	0.259	2.05748210018048e-25	"2"	"GLIS2"
"EPB41L4A-AS1"	9.22570550725264e-30	0.498648220294286	0.502	0.395	2.15660091937538e-25	"2"	"EPB41L4A-AS1"
"TPP1"	9.51413667544424e-30	-0.247252548841081	0.208	0.441	2.22402458925185e-25	"2"	"TPP1"
"DYNLT1"	1.35264076863624e-29	-0.32555621106791	0.462	0.722	3.16193306076407e-25	"2"	"DYNLT1"
"VKORC1"	1.36549047111744e-29	-0.330944736621321	0.632	0.84	3.19197052528412e-25	"2"	"VKORC1"
"ARHGDIA"	1.41319785166877e-29	-0.305392213795016	0.429	0.711	3.30349129806093e-25	"2"	"ARHGDIA"
"UBE2Q2"	1.41545768077201e-29	-0.219593253695908	0.106	0.298	3.30877387457265e-25	"2"	"UBE2Q2"
"HEG1"	1.44427862318098e-29	-0.270028632359747	0.156	0.368	3.37614570954785e-25	"2"	"HEG1"
"EFEMP1"	1.78754079292736e-29	0.307828934559229	0.773	0.647	4.178555357547e-25	"2"	"EFEMP1"
"EML4"	1.93028026003318e-29	-0.219612962626599	0.104	0.292	4.51222313585355e-25	"2"	"EML4"
"PIGT"	1.94763361090598e-29	-0.250816164821143	0.259	0.509	4.55278832885381e-25	"2"	"PIGT"
"RPS27L"	2.0201365727236e-29	-0.337486803511279	0.897	0.962	4.72227125239868e-25	"2"	"RPS27L"
"FAM50A"	2.07284045550707e-29	-0.262069798623662	0.243	0.484	4.84547184879332e-25	"2"	"FAM50A"
"NME1"	2.13438685873811e-29	-0.311318604599433	0.27	0.509	4.98934272098621e-25	"2"	"NME1"
"FAM127A"	2.4601719494096e-29	-0.307098959430999	0.387	0.653	5.75089794893987e-25	"2"	"FAM127A"
"MAP3K2"	2.61938587328627e-29	-0.258175686057105	0.136	0.339	6.12307641739398e-25	"2"	"MAP3K2"
"DBNL"	2.66861421318562e-29	-0.24091250153011	0.163	0.378	6.23815258474271e-25	"2"	"DBNL"
"RPL6"	2.97643608694894e-29	0.241294099266216	0.993	0.994	6.95771699685185e-25	"2"	"RPL6"
"EMP1"	3.00352065467946e-29	0.596906792655357	0.762	0.737	7.0210298823787e-25	"2"	"EMP1"
"PHPT1"	3.2900052376051e-29	-0.315449915941233	0.685	0.88	7.69071624342568e-25	"2"	"PHPT1"
"CANX"	3.51588362594077e-29	-0.318730676189629	0.467	0.731	8.21872956399915e-25	"2"	"CANX"
"GFPT1"	4.56917490790925e-29	-0.213458292361271	0.11	0.304	1.06809032647287e-24	"2"	"GFPT1"
"CMTM6"	5.294140012451e-29	-0.227646153762183	0.219	0.458	1.23755816931054e-24	"2"	"CMTM6"
"STX7"	5.56416468936796e-29	-0.24334698368203	0.19	0.414	1.30067913778665e-24	"2"	"STX7"
"PRMT2"	5.76095910359912e-29	-0.24926112310204	0.234	0.479	1.34668180005733e-24	"2"	"PRMT2"
"RHBDD2"	8.47879960847686e-29	-0.236605976793784	0.15	0.358	1.98200419647755e-24	"2"	"RHBDD2"
"PLVAP"	1.03190559215787e-28	0.580026231179995	0.345	0.217	2.41218251222823e-24	"2"	"PLVAP"
"SKP1"	1.15602476285372e-28	0.33003368212672	0.934	0.939	2.70232348564685e-24	"2"	"SKP1"
"F10"	1.31227479427305e-28	0.475321725401381	0.285	0.157	3.06757355909267e-24	"2"	"F10"
"IL13RA1"	1.51676932371297e-28	-0.229754970774404	0.124	0.321	3.54559997111143e-24	"2"	"IL13RA1"
"TCEB2"	1.803203179809e-28	-0.277101825577467	0.879	0.958	4.21516775312153e-24	"2"	"TCEB2"
"PEBP1"	1.90466739867537e-28	0.363194766036314	0.915	0.912	4.45235051114354e-24	"2"	"PEBP1"
"MAP4K5"	2.4747458798457e-28	-0.226381671670817	0.166	0.387	5.78496596872732e-24	"2"	"MAP4K5"
"SDC2"	2.75857258190357e-28	-0.39828448266518	0.486	0.719	6.44843926745779e-24	"2"	"SDC2"
"NIPSNAP3A"	2.93865913507323e-28	-0.196228351367007	0.083	0.258	6.86940959414717e-24	"2"	"NIPSNAP3A"
"CISD1"	3.67956545182829e-28	-0.27556451361845	0.267	0.511	8.60135220019381e-24	"2"	"CISD1"
"NKD2"	3.99110655003082e-28	-0.309477470516841	0.106	0.282	9.32961067135204e-24	"2"	"NKD2"
"SELM"	4.27804781417532e-28	-0.304482623192854	0.88	0.957	1.00003645704162e-23	"2"	"SELM"
"ARL2BP"	5.26792599081848e-28	-0.252430633362209	0.27	0.516	1.23143037961373e-23	"2"	"ARL2BP"
"EEF1D"	5.35276550109409e-28	0.2935630741605	0.967	0.974	1.25126246353575e-23	"2"	"EEF1D"
"EGR2"	5.45325503052156e-28	-0.364966187646051	0.091	0.263	1.27475289593472e-23	"2"	"EGR2"
"OPTN"	5.69530804381426e-28	-0.229987465684708	0.231	0.466	1.33133520832202e-23	"2"	"OPTN"
"ARPC5"	5.79736573055589e-28	-0.307252862970264	0.492	0.739	1.35519221317474e-23	"2"	"ARPC5"
"GYPC"	6.10027548196362e-28	0.504904324973291	0.594	0.542	1.42600039666382e-23	"2"	"GYPC"
"TXNDC17"	6.74950415450778e-28	-0.26690051684926	0.26	0.5	1.57776409115774e-23	"2"	"TXNDC17"
"AHR"	6.8360123392872e-28	-0.264113434518027	0.145	0.343	1.59798624443178e-23	"2"	"AHR"
"KLF3"	7.76423504528394e-28	-0.228858303184605	0.101	0.28	1.81496758418557e-23	"2"	"KLF3"
"ARID5B"	1.07979865697695e-27	0.54512871359079	0.793	0.793	2.52413734054933e-23	"2"	"ARID5B"
"SEC13"	1.08313186138343e-27	-0.243368004475273	0.22	0.447	2.5319290391699e-23	"2"	"SEC13"
"SHISA5"	1.24915184566527e-27	-0.225283150849428	0.246	0.492	2.92001735442714e-23	"2"	"SHISA5"
"AFAP1"	1.30335034179689e-27	-0.199049785139338	0.08	0.251	3.0467117589844e-23	"2"	"AFAP1"
"ATP2A2"	1.31834984138813e-27	-0.275166959408266	0.216	0.435	3.0817745892289e-23	"2"	"ATP2A2"
"FARP1"	1.35497572291733e-27	-0.241951279556923	0.118	0.304	3.16739124989155e-23	"2"	"FARP1"
"WBP5"	1.36108399781007e-27	-0.308400909306961	0.739	0.894	3.18166995328083e-23	"2"	"WBP5"
"MYL12A"	1.58191460792902e-27	-0.323984121467018	0.875	0.962	3.69788358749489e-23	"2"	"MYL12A"
"PCSK1N"	2.20521581236124e-27	-0.515392259394007	0.104	0.277	5.15491248297563e-23	"2"	"PCSK1N"
"VPS25"	2.78731423827824e-27	-0.213049006985545	0.165	0.38	6.51562576339922e-23	"2"	"VPS25"
"CCPG1"	2.81193183113183e-27	-0.269771592830553	0.344	0.596	6.57317184845377e-23	"2"	"CCPG1"
"MGAT1"	2.92118822869507e-27	-0.214547164248492	0.24	0.483	6.82856960339759e-23	"2"	"MGAT1"
"PGM3"	2.9702069885054e-27	-0.213284657064945	0.099	0.277	6.94315585633022e-23	"2"	"PGM3"
