"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"HOPX"	3.92396500653215e-185	-1.68825108062552	0.091	0.656	9.17266059926954e-181	"2"	"HOPX"
"MMP14"	1.34199081637226e-184	-1.64665633489719	0.348	0.835	3.1370377323518e-180	"2"	"MMP14"
"GAPDH"	1.34665399787775e-183	-1.08635857634042	0.926	0.99	3.14793838543904e-179	"2"	"GAPDH"
"CEL"	2.03226410601527e-183	1.33482215816095	0.384	0.073	4.7506205742213e-179	"2"	"CEL"
"ID3"	1.86257374440818e-182	-1.79012750085602	0.27	0.761	4.35395238492856e-178	"2"	"ID3"
"COL11A1"	5.0050385055989e-182	-2.39487220156072	0.013	0.547	1.1699778010688e-177	"2"	"COL11A1"
"S100A11"	1.61583544380381e-178	-0.833060642515012	0.921	0.993	3.77717693343578e-174	"2"	"S100A11"
"COL6A3"	1.81447127721112e-178	-1.26123960919911	0.834	0.982	4.24150805760872e-174	"2"	"COL6A3"
"EDNRB"	5.38884110145972e-178	1.13831419451359	0.479	0.127	1.25969549587722e-173	"2"	"EDNRB"
"CFTR"	1.22054851918135e-177	1.03583969798192	0.488	0.135	2.85315421843832e-173	"2"	"CFTR"
"THY1"	1.26715008414953e-169	-1.11913656800997	0.555	0.913	2.96209003670794e-165	"2"	"THY1"
"B2M"	3.10494809454957e-169	-0.654008992037963	1	1	7.25812666581907e-165	"2"	"B2M"
"SPRY1"	1.63037185817794e-166	1.46730807285268	0.811	0.553	3.81115725567676e-162	"2"	"SPRY1"
"ACTA2"	4.32702021973267e-166	-1.61685689483323	0.466	0.9	1.01148424656471e-161	"2"	"ACTA2"
"PDK4"	1.89641535808737e-165	1.45680569834808	0.686	0.296	4.43306054106503e-161	"2"	"PDK4"
"TPM4"	5.32721515888796e-165	-1.07810257634793	0.555	0.908	1.24528981554165e-160	"2"	"TPM4"
"SCTR"	2.10466998720089e-163	0.805023955097217	0.371	0.076	4.9198765620808e-159	"2"	"SCTR"
"DPYSL3"	3.97849337100353e-163	-1.01479719724339	0.1	0.621	9.30012610405786e-159	"2"	"DPYSL3"
"CTRB2"	1.00230125447885e-162	1.49178072526173	0.756	0.353	2.34297941246976e-158	"2"	"CTRB2"
